cohort	sex	region	highest edu	receiving e	time	TABCELL	age
1976	Women	Region Hovedstaden	H20 Upper secondary education	H35 Qualifying educational programmes	2006	1	29
1987	Women	Region Hovedstaden	H20 Upper secondary education	H40 Short cycle higher education	2017	33	29
1986	Women	Region Hovedstaden	H20 Upper secondary education	H40 Short cycle higher education	2016	39	29
1985	Women	Region Hovedstaden	H20 Upper secondary education	H40 Short cycle higher education	2015	34	29
1984	Women	Region Hovedstaden	H20 Upper secondary education	H40 Short cycle higher education	2014	28	29
1983	Women	Region Hovedstaden	H20 Upper secondary education	H40 Short cycle higher education	2013	32	29
1982	Women	Region Hovedstaden	H20 Upper secondary education	H40 Short cycle higher education	2012	27	29
1981	Women	Region Hovedstaden	H20 Upper secondary education	H40 Short cycle higher education	2011	18	29
1980	Women	Region Hovedstaden	H20 Upper secondary education	H40 Short cycle higher education	2010	38	29
1979	Women	Region Hovedstaden	H20 Upper secondary education	H40 Short cycle higher education	2009	29	29
1978	Women	Region Hovedstaden	H20 Upper secondary education	H40 Short cycle higher education	2008	27	29
1977	Women	Region Hovedstaden	H20 Upper secondary education	H40 Short cycle higher education	2007	36	29
1976	Women	Region Hovedstaden	H20 Upper secondary education	H40 Short cycle higher education	2006	34	29
1987	Women	Region Hovedstaden	H20 Upper secondary education	H50 Vocational bachelors educations	2017	237	29
1986	Women	Region Hovedstaden	H20 Upper secondary education	H50 Vocational bachelors educations	2016	207	29
1985	Women	Region Hovedstaden	H20 Upper secondary education	H50 Vocational bachelors educations	2015	230	29
1984	Women	Region Hovedstaden	H20 Upper secondary education	H50 Vocational bachelors educations	2014	222	29
1983	Women	Region Hovedstaden	H20 Upper secondary education	H50 Vocational bachelors educations	2013	185	29
1982	Women	Region Hovedstaden	H20 Upper secondary education	H50 Vocational bachelors educations	2012	178	29
1981	Women	Region Hovedstaden	H20 Upper secondary education	H50 Vocational bachelors educations	2011	200	29
1980	Women	Region Hovedstaden	H20 Upper secondary education	H50 Vocational bachelors educations	2010	219	29
1979	Women	Region Hovedstaden	H20 Upper secondary education	H50 Vocational bachelors educations	2009	220	29
1978	Women	Region Hovedstaden	H20 Upper secondary education	H50 Vocational bachelors educations	2008	237	29
1977	Women	Region Hovedstaden	H20 Upper secondary education	H50 Vocational bachelors educations	2007	254	29
1976	Women	Region Hovedstaden	H20 Upper secondary education	H50 Vocational bachelors educations	2006	270	29
1987	Women	Region Hovedstaden	H20 Upper secondary education	H60 Bachelors programmes	2017	106	29
1986	Women	Region Hovedstaden	H20 Upper secondary education	H60 Bachelors programmes	2016	121	29
1985	Women	Region Hovedstaden	H20 Upper secondary education	H60 Bachelors programmes	2015	116	29
1984	Women	Region Hovedstaden	H20 Upper secondary education	H60 Bachelors programmes	2014	142	29
1983	Women	Region Hovedstaden	H20 Upper secondary education	H60 Bachelors programmes	2013	151	29
1982	Women	Region Hovedstaden	H20 Upper secondary education	H60 Bachelors programmes	2012	119	29
1981	Women	Region Hovedstaden	H20 Upper secondary education	H60 Bachelors programmes	2011	145	29
1980	Women	Region Hovedstaden	H20 Upper secondary education	H60 Bachelors programmes	2010	143	29
1979	Women	Region Hovedstaden	H20 Upper secondary education	H60 Bachelors programmes	2009	192	29
1978	Women	Region Hovedstaden	H20 Upper secondary education	H60 Bachelors programmes	2008	177	29
1977	Women	Region Hovedstaden	H20 Upper secondary education	H60 Bachelors programmes	2007	188	29
1976	Women	Region Hovedstaden	H20 Upper secondary education	H60 Bachelors programmes	2006	171	29
1987	Women	Region Hovedstaden	H20 Upper secondary education	H70 Masters programmes	2017	10	29
1986	Women	Region Hovedstaden	H20 Upper secondary education	H70 Masters programmes	2016	14	29
1985	Women	Region Hovedstaden	H20 Upper secondary education	H70 Masters programmes	2015	22	29
1984	Women	Region Hovedstaden	H20 Upper secondary education	H70 Masters programmes	2014	25	29
1983	Women	Region Hovedstaden	H20 Upper secondary education	H70 Masters programmes	2013	31	29
1982	Women	Region Hovedstaden	H20 Upper secondary education	H70 Masters programmes	2012	27	29
1981	Women	Region Hovedstaden	H20 Upper secondary education	H70 Masters programmes	2011	29	29
1980	Women	Region Hovedstaden	H20 Upper secondary education	H70 Masters programmes	2010	56	29
1979	Women	Region Hovedstaden	H20 Upper secondary education	H70 Masters programmes	2009	80	29
1978	Women	Region Hovedstaden	H20 Upper secondary education	H70 Masters programmes	2008	84	29
1977	Women	Region Hovedstaden	H20 Upper secondary education	H70 Masters programmes	2007	124	29
1976	Women	Region Hovedstaden	H20 Upper secondary education	H70 Masters programmes	2006	166	29
1987	Women	Region Hovedstaden	H20 Upper secondary education	H80 PhD programmes	2017	0	29
1986	Women	Region Hovedstaden	H20 Upper secondary education	H80 PhD programmes	2016	0	29
1985	Women	Region Hovedstaden	H20 Upper secondary education	H80 PhD programmes	2015	0	29
1984	Women	Region Hovedstaden	H20 Upper secondary education	H80 PhD programmes	2014	0	29
1983	Women	Region Hovedstaden	H20 Upper secondary education	H80 PhD programmes	2013	0	29
1982	Women	Region Hovedstaden	H20 Upper secondary education	H80 PhD programmes	2012	3	29
1981	Women	Region Hovedstaden	H20 Upper secondary education	H80 PhD programmes	2011	2	29
1980	Women	Region Hovedstaden	H20 Upper secondary education	H80 PhD programmes	2010	2	29
1979	Women	Region Hovedstaden	H20 Upper secondary education	H80 PhD programmes	2009	1	29
1978	Women	Region Hovedstaden	H20 Upper secondary education	H80 PhD programmes	2008	1	29
1977	Women	Region Hovedstaden	H20 Upper secondary education	H80 PhD programmes	2007	0	29
1976	Women	Region Hovedstaden	H20 Upper secondary education	H80 PhD programmes	2006	0	29
1987	Women	Region Hovedstaden	H20 Upper secondary education	H90 Not stated	2017	601	29
1986	Women	Region Hovedstaden	H20 Upper secondary education	H90 Not stated	2016	622	29
1985	Women	Region Hovedstaden	H20 Upper secondary education	H90 Not stated	2015	618	29
1984	Women	Region Hovedstaden	H20 Upper secondary education	H90 Not stated	2014	635	29
1983	Women	Region Hovedstaden	H20 Upper secondary education	H90 Not stated	2013	667	29
1982	Women	Region Hovedstaden	H20 Upper secondary education	H90 Not stated	2012	643	29
1981	Women	Region Hovedstaden	H20 Upper secondary education	H90 Not stated	2011	758	29
1980	Women	Region Hovedstaden	H20 Upper secondary education	H90 Not stated	2010	807	29
1979	Women	Region Hovedstaden	H20 Upper secondary education	H90 Not stated	2009	858	29
1978	Women	Region Hovedstaden	H20 Upper secondary education	H90 Not stated	2008	943	29
1977	Women	Region Hovedstaden	H20 Upper secondary education	H90 Not stated	2007	838	29
1976	Women	Region Hovedstaden	H20 Upper secondary education	H90 Not stated	2006	925	29
1987	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H10 Primary education	2017	0	29
1986	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H10 Primary education	2016	0	29
1985	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H10 Primary education	2015	0	29
1984	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H10 Primary education	2014	0	29
1983	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H10 Primary education	2013	0	29
1982	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H10 Primary education	2012	0	29
1981	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H10 Primary education	2011	0	29
1980	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H10 Primary education	2010	0	29
1979	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H10 Primary education	2009	0	29
1978	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H10 Primary education	2008	0	29
1977	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H10 Primary education	2007	0	29
1976	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H10 Primary education	2006	0	29
1987	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H15 Preparatory courses	2017	1	29
1986	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H15 Preparatory courses	2016	0	29
1985	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H15 Preparatory courses	2015	0	29
1984	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H15 Preparatory courses	2014	0	29
1983	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H15 Preparatory courses	2013	0	29
1982	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H15 Preparatory courses	2012	0	29
1981	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H15 Preparatory courses	2011	0	29
1980	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H15 Preparatory courses	2010	0	29
1979	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H15 Preparatory courses	2009	0	29
1978	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H15 Preparatory courses	2008	0	29
1977	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H15 Preparatory courses	2007	0	29
1976	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H15 Preparatory courses	2006	0	29
1987	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H20 Upper secondary education	2017	2	29
1986	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H20 Upper secondary education	2016	4	29
1985	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H20 Upper secondary education	2015	3	29
1984	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H20 Upper secondary education	2014	1	29
1983	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H20 Upper secondary education	2013	2	29
1982	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H20 Upper secondary education	2012	2	29
1981	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H20 Upper secondary education	2011	1	29
1980	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H20 Upper secondary education	2010	1	29
1979	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H20 Upper secondary education	2009	1	29
1978	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H20 Upper secondary education	2008	3	29
1977	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H20 Upper secondary education	2007	2	29
1976	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H20 Upper secondary education	2006	1	29
1987	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H29 Vocational Education and Training (VET), basic course	2017	1	29
1986	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H29 Vocational Education and Training (VET), basic course	2016	8	29
1985	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H29 Vocational Education and Training (VET), basic course	2015	13	29
1984	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H29 Vocational Education and Training (VET), basic course	2014	15	29
1983	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H29 Vocational Education and Training (VET), basic course	2013	9	29
1982	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H29 Vocational Education and Training (VET), basic course	2012	15	29
1981	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H29 Vocational Education and Training (VET), basic course	2011	14	29
1980	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H29 Vocational Education and Training (VET), basic course	2010	7	29
1979	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H29 Vocational Education and Training (VET), basic course	2009	13	29
1978	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H29 Vocational Education and Training (VET), basic course	2008	9	29
1977	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H29 Vocational Education and Training (VET), basic course	2007	13	29
1976	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H29 Vocational Education and Training (VET), basic course	2006	7	29
1987	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H30 Vocational Education and Training (VET)	2017	74	29
1986	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H30 Vocational Education and Training (VET)	2016	95	29
1985	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H30 Vocational Education and Training (VET)	2015	88	29
1984	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H30 Vocational Education and Training (VET)	2014	86	29
1983	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H30 Vocational Education and Training (VET)	2013	84	29
1982	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H30 Vocational Education and Training (VET)	2012	98	29
1981	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H30 Vocational Education and Training (VET)	2011	105	29
1980	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H30 Vocational Education and Training (VET)	2010	94	29
1979	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H30 Vocational Education and Training (VET)	2009	102	29
1978	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H30 Vocational Education and Training (VET)	2008	80	29
1977	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H30 Vocational Education and Training (VET)	2007	75	29
1976	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H30 Vocational Education and Training (VET)	2006	86	29
1987	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H35 Qualifying educational programmes	2017	0	29
1986	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H35 Qualifying educational programmes	2016	0	29
1985	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H35 Qualifying educational programmes	2015	0	29
1984	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H35 Qualifying educational programmes	2014	0	29
1983	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H35 Qualifying educational programmes	2013	1	29
1982	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H35 Qualifying educational programmes	2012	0	29
1981	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H35 Qualifying educational programmes	2011	1	29
1980	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H35 Qualifying educational programmes	2010	0	29
1979	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H35 Qualifying educational programmes	2009	2	29
1978	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H35 Qualifying educational programmes	2008	0	29
1977	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H35 Qualifying educational programmes	2007	0	29
1976	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H35 Qualifying educational programmes	2006	2	29
1987	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H40 Short cycle higher education	2017	23	29
1986	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H40 Short cycle higher education	2016	19	29
1985	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H40 Short cycle higher education	2015	25	29
1984	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H40 Short cycle higher education	2014	20	29
1983	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H40 Short cycle higher education	2013	18	29
1982	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H40 Short cycle higher education	2012	15	29
1981	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H40 Short cycle higher education	2011	28	29
1980	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H40 Short cycle higher education	2010	19	29
1979	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H40 Short cycle higher education	2009	12	29
1978	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H40 Short cycle higher education	2008	24	29
1977	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H40 Short cycle higher education	2007	38	29
1976	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H40 Short cycle higher education	2006	42	29
1987	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H50 Vocational bachelors educations	2017	112	29
1986	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H50 Vocational bachelors educations	2016	128	29
1985	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H50 Vocational bachelors educations	2015	113	29
1984	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H50 Vocational bachelors educations	2014	93	29
1983	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H50 Vocational bachelors educations	2013	72	29
1982	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H50 Vocational bachelors educations	2012	73	29
1981	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H50 Vocational bachelors educations	2011	75	29
1980	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H50 Vocational bachelors educations	2010	104	29
1979	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H50 Vocational bachelors educations	2009	123	29
1978	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H50 Vocational bachelors educations	2008	124	29
1977	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H50 Vocational bachelors educations	2007	138	29
1976	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H50 Vocational bachelors educations	2006	150	29
1987	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H60 Bachelors programmes	2017	26	29
1986	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H60 Bachelors programmes	2016	25	29
1985	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H60 Bachelors programmes	2015	27	29
1984	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H60 Bachelors programmes	2014	29	29
1983	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H60 Bachelors programmes	2013	21	29
1982	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H60 Bachelors programmes	2012	23	29
1981	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H60 Bachelors programmes	2011	23	29
1980	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H60 Bachelors programmes	2010	31	29
1979	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H60 Bachelors programmes	2009	34	29
1978	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H60 Bachelors programmes	2008	30	29
1977	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H60 Bachelors programmes	2007	26	29
1976	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H60 Bachelors programmes	2006	30	29
1987	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H70 Masters programmes	2017	1	29
1986	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H70 Masters programmes	2016	2	29
1985	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H70 Masters programmes	2015	3	29
1984	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H70 Masters programmes	2014	1	29
1983	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H70 Masters programmes	2013	1	29
1982	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H70 Masters programmes	2012	3	29
1981	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H70 Masters programmes	2011	7	29
1980	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H70 Masters programmes	2010	1	29
1979	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H70 Masters programmes	2009	9	29
1978	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H70 Masters programmes	2008	9	29
1977	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H70 Masters programmes	2007	9	29
1976	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H70 Masters programmes	2006	12	29
1987	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H80 PhD programmes	2017	0	29
1986	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H80 PhD programmes	2016	0	29
1985	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H80 PhD programmes	2015	0	29
1984	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H80 PhD programmes	2014	0	29
1983	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H80 PhD programmes	2013	0	29
1982	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H80 PhD programmes	2012	1	29
1981	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H80 PhD programmes	2011	0	29
1980	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H80 PhD programmes	2010	0	29
1979	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H80 PhD programmes	2009	0	29
1978	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H80 PhD programmes	2008	0	29
1977	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H80 PhD programmes	2007	1	29
1976	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H80 PhD programmes	2006	2	29
1987	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H90 Not stated	2017	1709	29
1986	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H90 Not stated	2016	1778	29
1985	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H90 Not stated	2015	1785	29
1984	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H90 Not stated	2014	1662	29
1983	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H90 Not stated	2013	1743	29
1982	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H90 Not stated	2012	1849	29
1981	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H90 Not stated	2011	1886	29
1980	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H90 Not stated	2010	2101	29
1979	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H90 Not stated	2009	2254	29
1978	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H90 Not stated	2008	2514	29
1977	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H90 Not stated	2007	2608	29
1976	Women	Region Hovedstaden	H30 Vocational Education and Training (VET)	H90 Not stated	2006	2742	29
1987	Women	Region Hovedstaden	H35 Qualifying educational programmes	H10 Primary education	2017	0	29
1986	Women	Region Hovedstaden	H35 Qualifying educational programmes	H10 Primary education	2016	0	29
1985	Women	Region Hovedstaden	H35 Qualifying educational programmes	H10 Primary education	2015	0	29
1984	Women	Region Hovedstaden	H35 Qualifying educational programmes	H10 Primary education	2014	0	29
1983	Women	Region Hovedstaden	H35 Qualifying educational programmes	H10 Primary education	2013	0	29
1982	Women	Region Hovedstaden	H35 Qualifying educational programmes	H10 Primary education	2012	0	29
1981	Women	Region Hovedstaden	H35 Qualifying educational programmes	H10 Primary education	2011	0	29
1980	Women	Region Hovedstaden	H35 Qualifying educational programmes	H10 Primary education	2010	0	29
1979	Women	Region Hovedstaden	H35 Qualifying educational programmes	H10 Primary education	2009	0	29
1978	Women	Region Hovedstaden	H35 Qualifying educational programmes	H10 Primary education	2008	0	29
1977	Women	Region Hovedstaden	H35 Qualifying educational programmes	H10 Primary education	2007	0	29
1976	Women	Region Hovedstaden	H35 Qualifying educational programmes	H10 Primary education	2006	0	29
1987	Women	Region Hovedstaden	H35 Qualifying educational programmes	H15 Preparatory courses	2017	0	29
1986	Women	Region Hovedstaden	H35 Qualifying educational programmes	H15 Preparatory courses	2016	0	29
1985	Women	Region Hovedstaden	H35 Qualifying educational programmes	H15 Preparatory courses	2015	0	29
1984	Women	Region Hovedstaden	H35 Qualifying educational programmes	H15 Preparatory courses	2014	0	29
1983	Women	Region Hovedstaden	H35 Qualifying educational programmes	H15 Preparatory courses	2013	0	29
1982	Women	Region Hovedstaden	H35 Qualifying educational programmes	H15 Preparatory courses	2012	0	29
1981	Women	Region Hovedstaden	H35 Qualifying educational programmes	H15 Preparatory courses	2011	0	29
1980	Women	Region Hovedstaden	H35 Qualifying educational programmes	H15 Preparatory courses	2010	0	29
1979	Women	Region Hovedstaden	H35 Qualifying educational programmes	H15 Preparatory courses	2009	0	29
1978	Women	Region Hovedstaden	H35 Qualifying educational programmes	H15 Preparatory courses	2008	0	29
1977	Women	Region Hovedstaden	H35 Qualifying educational programmes	H15 Preparatory courses	2007	0	29
1976	Women	Region Hovedstaden	H35 Qualifying educational programmes	H15 Preparatory courses	2006	0	29
1987	Women	Region Hovedstaden	H35 Qualifying educational programmes	H20 Upper secondary education	2017	0	29
1986	Women	Region Hovedstaden	H35 Qualifying educational programmes	H20 Upper secondary education	2016	0	29
1985	Women	Region Hovedstaden	H35 Qualifying educational programmes	H20 Upper secondary education	2015	0	29
1984	Women	Region Hovedstaden	H35 Qualifying educational programmes	H20 Upper secondary education	2014	0	29
1983	Women	Region Hovedstaden	H35 Qualifying educational programmes	H20 Upper secondary education	2013	0	29
1982	Women	Region Hovedstaden	H35 Qualifying educational programmes	H20 Upper secondary education	2012	0	29
1981	Women	Region Hovedstaden	H35 Qualifying educational programmes	H20 Upper secondary education	2011	0	29
1980	Women	Region Hovedstaden	H35 Qualifying educational programmes	H20 Upper secondary education	2010	0	29
1979	Women	Region Hovedstaden	H35 Qualifying educational programmes	H20 Upper secondary education	2009	0	29
1978	Women	Region Hovedstaden	H35 Qualifying educational programmes	H20 Upper secondary education	2008	0	29
1977	Women	Region Hovedstaden	H35 Qualifying educational programmes	H20 Upper secondary education	2007	0	29
1976	Women	Region Hovedstaden	H35 Qualifying educational programmes	H20 Upper secondary education	2006	0	29
1987	Women	Region Hovedstaden	H35 Qualifying educational programmes	H29 Vocational Education and Training (VET), basic course	2017	0	29
1986	Women	Region Hovedstaden	H35 Qualifying educational programmes	H29 Vocational Education and Training (VET), basic course	2016	0	29
1985	Women	Region Hovedstaden	H35 Qualifying educational programmes	H29 Vocational Education and Training (VET), basic course	2015	0	29
1984	Women	Region Hovedstaden	H35 Qualifying educational programmes	H29 Vocational Education and Training (VET), basic course	2014	0	29
1983	Women	Region Hovedstaden	H35 Qualifying educational programmes	H29 Vocational Education and Training (VET), basic course	2013	0	29
1982	Women	Region Hovedstaden	H35 Qualifying educational programmes	H29 Vocational Education and Training (VET), basic course	2012	0	29
1981	Women	Region Hovedstaden	H35 Qualifying educational programmes	H29 Vocational Education and Training (VET), basic course	2011	0	29
1980	Women	Region Hovedstaden	H35 Qualifying educational programmes	H29 Vocational Education and Training (VET), basic course	2010	0	29
1979	Women	Region Hovedstaden	H35 Qualifying educational programmes	H29 Vocational Education and Training (VET), basic course	2009	0	29
1978	Women	Region Hovedstaden	H35 Qualifying educational programmes	H29 Vocational Education and Training (VET), basic course	2008	0	29
1977	Women	Region Hovedstaden	H35 Qualifying educational programmes	H29 Vocational Education and Training (VET), basic course	2007	0	29
1976	Women	Region Hovedstaden	H35 Qualifying educational programmes	H29 Vocational Education and Training (VET), basic course	2006	0	29
1987	Women	Region Hovedstaden	H35 Qualifying educational programmes	H30 Vocational Education and Training (VET)	2017	0	29
1986	Women	Region Hovedstaden	H35 Qualifying educational programmes	H30 Vocational Education and Training (VET)	2016	0	29
1985	Women	Region Hovedstaden	H35 Qualifying educational programmes	H30 Vocational Education and Training (VET)	2015	0	29
1984	Women	Region Hovedstaden	H35 Qualifying educational programmes	H30 Vocational Education and Training (VET)	2014	0	29
1983	Women	Region Hovedstaden	H35 Qualifying educational programmes	H30 Vocational Education and Training (VET)	2013	0	29
1982	Women	Region Hovedstaden	H35 Qualifying educational programmes	H30 Vocational Education and Training (VET)	2012	0	29
1981	Women	Region Hovedstaden	H35 Qualifying educational programmes	H30 Vocational Education and Training (VET)	2011	1	29
1980	Women	Region Hovedstaden	H35 Qualifying educational programmes	H30 Vocational Education and Training (VET)	2010	0	29
1979	Women	Region Hovedstaden	H35 Qualifying educational programmes	H30 Vocational Education and Training (VET)	2009	0	29
1978	Women	Region Hovedstaden	H35 Qualifying educational programmes	H30 Vocational Education and Training (VET)	2008	0	29
1977	Women	Region Hovedstaden	H35 Qualifying educational programmes	H30 Vocational Education and Training (VET)	2007	0	29
1976	Women	Region Hovedstaden	H35 Qualifying educational programmes	H30 Vocational Education and Training (VET)	2006	0	29
1987	Women	Region Hovedstaden	H35 Qualifying educational programmes	H35 Qualifying educational programmes	2017	0	29
1986	Women	Region Hovedstaden	H35 Qualifying educational programmes	H35 Qualifying educational programmes	2016	0	29
