cohort	sex	region	highest edu	receiving e	time	TABCELL	age
1981	Men	All Denmark	H10 Primary education	H40 Short cycle higher education	2011	27	29
1980	Men	All Denmark	H10 Primary education	H40 Short cycle higher education	2010	34	29
1979	Men	All Denmark	H10 Primary education	H40 Short cycle higher education	2009	31	29
1978	Men	All Denmark	H10 Primary education	H40 Short cycle higher education	2008	31	29
1977	Men	All Denmark	H10 Primary education	H40 Short cycle higher education	2007	38	29
1976	Men	All Denmark	H10 Primary education	H40 Short cycle higher education	2006	43	29
1987	Men	All Denmark	H10 Primary education	H50 Vocational bachelors educations	2017	90	29
1986	Men	All Denmark	H10 Primary education	H50 Vocational bachelors educations	2016	99	29
1985	Men	All Denmark	H10 Primary education	H50 Vocational bachelors educations	2015	102	29
1984	Men	All Denmark	H10 Primary education	H50 Vocational bachelors educations	2014	90	29
1983	Men	All Denmark	H10 Primary education	H50 Vocational bachelors educations	2013	83	29
1982	Men	All Denmark	H10 Primary education	H50 Vocational bachelors educations	2012	69	29
1981	Men	All Denmark	H10 Primary education	H50 Vocational bachelors educations	2011	59	29
1980	Men	All Denmark	H10 Primary education	H50 Vocational bachelors educations	2010	94	29
1979	Men	All Denmark	H10 Primary education	H50 Vocational bachelors educations	2009	80	29
1978	Men	All Denmark	H10 Primary education	H50 Vocational bachelors educations	2008	75	29
1977	Men	All Denmark	H10 Primary education	H50 Vocational bachelors educations	2007	77	29
1976	Men	All Denmark	H10 Primary education	H50 Vocational bachelors educations	2006	80	29
1987	Men	All Denmark	H10 Primary education	H60 Bachelors programmes	2017	28	29
1986	Men	All Denmark	H10 Primary education	H60 Bachelors programmes	2016	16	29
1985	Men	All Denmark	H10 Primary education	H60 Bachelors programmes	2015	20	29
1984	Men	All Denmark	H10 Primary education	H60 Bachelors programmes	2014	21	29
1983	Men	All Denmark	H10 Primary education	H60 Bachelors programmes	2013	30	29
1982	Men	All Denmark	H10 Primary education	H60 Bachelors programmes	2012	23	29
1981	Men	All Denmark	H10 Primary education	H60 Bachelors programmes	2011	18	29
1980	Men	All Denmark	H10 Primary education	H60 Bachelors programmes	2010	26	29
1979	Men	All Denmark	H10 Primary education	H60 Bachelors programmes	2009	19	29
1978	Men	All Denmark	H10 Primary education	H60 Bachelors programmes	2008	26	29
1977	Men	All Denmark	H10 Primary education	H60 Bachelors programmes	2007	29	29
1976	Men	All Denmark	H10 Primary education	H60 Bachelors programmes	2006	31	29
1987	Men	All Denmark	H10 Primary education	H70 Masters programmes	2017	1	29
1986	Men	All Denmark	H10 Primary education	H70 Masters programmes	2016	3	29
1985	Men	All Denmark	H10 Primary education	H70 Masters programmes	2015	0	29
1984	Men	All Denmark	H10 Primary education	H70 Masters programmes	2014	3	29
1983	Men	All Denmark	H10 Primary education	H70 Masters programmes	2013	4	29
1982	Men	All Denmark	H10 Primary education	H70 Masters programmes	2012	6	29
1981	Men	All Denmark	H10 Primary education	H70 Masters programmes	2011	8	29
1980	Men	All Denmark	H10 Primary education	H70 Masters programmes	2010	4	29
1979	Men	All Denmark	H10 Primary education	H70 Masters programmes	2009	10	29
1978	Men	All Denmark	H10 Primary education	H70 Masters programmes	2008	10	29
1977	Men	All Denmark	H10 Primary education	H70 Masters programmes	2007	12	29
1976	Men	All Denmark	H10 Primary education	H70 Masters programmes	2006	14	29
1987	Men	All Denmark	H10 Primary education	H80 PhD programmes	2017	0	29
1986	Men	All Denmark	H10 Primary education	H80 PhD programmes	2016	0	29
1985	Men	All Denmark	H10 Primary education	H80 PhD programmes	2015	1	29
1984	Men	All Denmark	H10 Primary education	H80 PhD programmes	2014	0	29
1983	Men	All Denmark	H10 Primary education	H80 PhD programmes	2013	0	29
1982	Men	All Denmark	H10 Primary education	H80 PhD programmes	2012	0	29
1981	Men	All Denmark	H10 Primary education	H80 PhD programmes	2011	0	29
1980	Men	All Denmark	H10 Primary education	H80 PhD programmes	2010	0	29
1979	Men	All Denmark	H10 Primary education	H80 PhD programmes	2009	0	29
1978	Men	All Denmark	H10 Primary education	H80 PhD programmes	2008	0	29
1977	Men	All Denmark	H10 Primary education	H80 PhD programmes	2007	0	29
1976	Men	All Denmark	H10 Primary education	H80 PhD programmes	2006	5	29
1987	Men	All Denmark	H10 Primary education	H90 Not stated	2017	6241	29
1986	Men	All Denmark	H10 Primary education	H90 Not stated	2016	6077	29
1985	Men	All Denmark	H10 Primary education	H90 Not stated	2015	5662	29
1984	Men	All Denmark	H10 Primary education	H90 Not stated	2014	5713	29
1983	Men	All Denmark	H10 Primary education	H90 Not stated	2013	5399	29
1982	Men	All Denmark	H10 Primary education	H90 Not stated	2012	5704	29
1981	Men	All Denmark	H10 Primary education	H90 Not stated	2011	5626	29
1980	Men	All Denmark	H10 Primary education	H90 Not stated	2010	5768	29
1979	Men	All Denmark	H10 Primary education	H90 Not stated	2009	6032	29
1978	Men	All Denmark	H10 Primary education	H90 Not stated	2008	6053	29
1977	Men	All Denmark	H10 Primary education	H90 Not stated	2007	6084	29
1976	Men	All Denmark	H10 Primary education	H90 Not stated	2006	6549	29
1987	Men	All Denmark	H20 Upper secondary education	H10 Primary education	2017	0	29
1986	Men	All Denmark	H20 Upper secondary education	H10 Primary education	2016	0	29
1985	Men	All Denmark	H20 Upper secondary education	H10 Primary education	2015	0	29
1984	Men	All Denmark	H20 Upper secondary education	H10 Primary education	2014	0	29
1983	Men	All Denmark	H20 Upper secondary education	H10 Primary education	2013	1	29
1982	Men	All Denmark	H20 Upper secondary education	H10 Primary education	2012	0	29
1981	Men	All Denmark	H20 Upper secondary education	H10 Primary education	2011	0	29
1980	Men	All Denmark	H20 Upper secondary education	H10 Primary education	2010	0	29
1979	Men	All Denmark	H20 Upper secondary education	H10 Primary education	2009	0	29
1978	Men	All Denmark	H20 Upper secondary education	H10 Primary education	2008	0	29
1977	Men	All Denmark	H20 Upper secondary education	H10 Primary education	2007	0	29
1976	Men	All Denmark	H20 Upper secondary education	H10 Primary education	2006	0	29
1987	Men	All Denmark	H20 Upper secondary education	H15 Preparatory courses	2017	0	29
1986	Men	All Denmark	H20 Upper secondary education	H15 Preparatory courses	2016	0	29
1985	Men	All Denmark	H20 Upper secondary education	H15 Preparatory courses	2015	0	29
1984	Men	All Denmark	H20 Upper secondary education	H15 Preparatory courses	2014	0	29
1983	Men	All Denmark	H20 Upper secondary education	H15 Preparatory courses	2013	0	29
