sex	age	time	region	H10 Primary education	H15 Preparatory courses	H20 Upper secondary education	"H29 Vocational Education and Training (VET), basic course"	H30 Vocational Education and Training (VET)	H35 Qualifying educational programmes	H40 Short cycle higher education	H50 Vocational bachelors educations	H60 Bachelors programmes	H70 Masters programmes	H80 PhD programmes	H90 Not in education
Women	27	2015	Region Hovedstaden	0.00000	0.00086	0.00143	0.00810	0.02789	0.00022	0.01219	0.06296	0.03033	0.16119	0.01240	0.68242
Women	27	2015	Region Midtjylland	0.00013	0.00040	0.00225	0.01124	0.04286	0.00026	0.01296	0.07303	0.01627	0.10411	0.01032	0.72615
Women	27	2015	Region Nordjylland	0.00000	0.00102	0.00339	0.01829	0.04978	0.00034	0.01050	0.05825	0.01829	0.04978	0.00643	0.78395
Women	27	2015	Region Sjælland	0.00000	0.00124	0.00529	0.02644	0.06314	0.00000	0.00933	0.05039	0.01493	0.02395	0.00280	0.80249
Women	27	2015	Region Syddanmark	0.00000	0.00034	0.00441	0.02071	0.04804	0.00000	0.00968	0.07045	0.01799	0.06654	0.00272	0.75912
Women	28	2016	All Denmark	0.00012	0.00047	0.00174	0.00506	0.03830	0.00026	0.00953	0.05139	0.01497	0.07312	0.01094	0.79410
Women	28	2016	Region Hovedstaden	0.00014	0.00064	0.00100	0.00314	0.02644	0.00014	0.01012	0.05038	0.02095	0.10745	0.01653	0.76308
Women	28	2016	Region Midtjylland	0.00026	0.00013	0.00092	0.00370	0.03858	0.00026	0.01004	0.05576	0.00978	0.06779	0.01057	0.80219
Women	28	2016	Region Nordjylland	0.00000	0.00101	0.00169	0.00506	0.04992	0.00101	0.00809	0.04857	0.01315	0.03373	0.00776	0.83002
Women	28	2016	Region Sjælland	0.00000	0.00058	0.00233	0.01108	0.05800	0.00000	0.00816	0.03760	0.01108	0.02303	0.00321	0.84494
Women	28	2016	Region Syddanmark	0.00000	0.00017	0.00417	0.00783	0.04867	0.00033	0.00900	0.05751	0.01067	0.04767	0.00433	0.80963
Women	29	2017	All Denmark	0.00003	0.00026	0.00108	0.00038	0.03467	0.00035	0.00753	0.04197	0.01069	0.04121	0.01101	0.85082
Women	29	2017	Region Hovedstaden	0.00007	0.00057	0.00057	0.00021	0.02352	0.00021	0.00756	0.04035	0.01497	0.05995	0.01689	0.83512
Women	29	2017	Region Midtjylland	0.00000	0.00000	0.00080	0.00000	0.03937	0.00027	0.00862	0.04653	0.00650	0.03539	0.01100	0.85154
Women	29	2017	Region Nordjylland	0.00000	0.00034	0.00067	0.00101	0.04122	0.00134	0.00704	0.04256	0.01206	0.02681	0.00704	0.85992
Women	29	2017	Region Sjælland	0.00000	0.00000	0.00194	0.00111	0.04635	0.00000	0.00472	0.03636	0.00638	0.01832	0.00278	0.88204
Women	29	2017	Region Syddanmark	0.00000	0.00000	0.00230	0.00049	0.04439	0.00049	0.00806	0.04308	0.00789	0.02581	0.00427	0.86320
