sex	region	time	cohort	age	Part of pop with H10 Primary education	Part of pop with H20 Upper secondary education	Part of pop with H30 Vocational Education and Training (VET)	Part of pop with H35 Qualifying educational programmes	Part of pop with H40 Short cycle higher education	Part of pop with H50 Vocational bachelors educations	Part of pop with H60 Bachelors programmes	Part of pop with H70 Masters programmes	Part of pop with H80 PhD programmes	Part of pop with H90 Not stated	H10 Primary education	H20 Upper secondary education	H30 Vocational Education and Training (VET)	H35 Qualifying educational programmes	H40 Short cycle higher education	H50 Vocational bachelors educations	H60 Bachelors programmes	H70 Masters programmes	H80 PhD programmes	H90 Not stated
Men and women	Slagelse	2017	1987	29	0.279	0.069	0.330	0.000	0.048	0.149	0.020	0.076	0.004	0.026	234	58	277	0	40	125	17	64	3	22
Men and women	Solrød	2017	1987	29	0.187	0.100	0.340	0.000	0.080	0.120	0.027	0.100	0.007	0.040	28	15	51	0	12	18	4	15	1	6
Men and women	Sorø	2017	1987	29	0.245	0.066	0.425	0.000	0.033	0.121	0.022	0.077	0.000	0.011	67	18	116	0	9	33	6	21	0	3
Men and women	Stevns	2017	1987	29	0.273	0.062	0.273	0.000	0.062	0.161	0.031	0.112	0.012	0.012	44	10	44	0	10	26	5	18	2	2
Men and women	Struer	2017	1987	29	0.272	0.056	0.370	0.000	0.031	0.142	0.012	0.093	0.012	0.012	44	9	60	0	5	23	2	15	2	2
Men and women	Svendborg	2017	1987	29	0.225	0.096	0.336	0.000	0.034	0.199	0.021	0.056	0.002	0.030	105	45	157	0	16	93	10	26	1	14
Men and women	Syddjurs	2017	1987	29	0.241	0.071	0.346	0.003	0.054	0.159	0.014	0.092	0.000	0.020	71	21	102	1	16	47	4	27	0	6
Men and women	Sønderborg	2017	1987	29	0.217	0.068	0.353	0.003	0.042	0.168	0.019	0.105	0.000	0.025	146	46	238	2	28	113	13	71	0	17
Men and women	Thisted	2017	1987	29	0.241	0.090	0.336	0.000	0.055	0.162	0.005	0.085	0.002	0.025	97	36	135	0	22	65	2	34	1	10
Men and women	Tønder	2017	1987	29	0.236	0.062	0.427	0.000	0.039	0.129	0.006	0.065	0.003	0.034	84	22	152	0	14	46	2	23	1	12
Men and women	Tårnby	2017	1987	29	0.195	0.066	0.330	0.002	0.053	0.162	0.021	0.130	0.000	0.041	85	29	144	1	23	71	9	57	0	18
Men and women	Vallensbæk	2017	1987	29	0.137	0.071	0.247	0.000	0.071	0.176	0.060	0.187	0.000	0.049	25	13	45	0	13	32	11	34	0	9
Men and women	Varde	2017	1987	29	0.206	0.052	0.383	0.000	0.048	0.165	0.022	0.093	0.002	0.030	95	24	177	0	22	76	10	43	1	14
Men and women	Vejen	2017	1987	29	0.201	0.055	0.391	0.000	0.050	0.161	0.019	0.086	0.007	0.029	84	23	163	0	21	67	8	36	3	12
Men and women	Vejle	2017	1987	29	0.199	0.064	0.290	0.002	0.058	0.192	0.019	0.144	0.004	0.028	246	79	359	2	72	237	24	178	5	35
Men and women	Vesthimmerlands	2017	1987	29	0.287	0.079	0.352	0.003	0.035	0.165	0.008	0.049	0.000	0.022	106	29	130	1	13	61	3	18	0	8
Men and women	Viborg	2017	1987	29	0.192	0.063	0.350	0.000	0.063	0.189	0.015	0.103	0.004	0.021	209	69	381	0	69	206	16	112	4	23
Men and women	Vordingborg	2017	1987	29	0.285	0.058	0.352	0.000	0.049	0.170	0.012	0.049	0.000	0.026	99	20	122	0	17	59	4	17	0	9
Men and women	Ærø	2017	1987	29	0.176	0.029	0.500	0.000	0.059	0.176	0.000	0.059	0.000	0.000	6	1	17	0	2	6	0	2	0	0
Men and women	Aabenraa	2017	1987	29	0.202	0.062	0.409	0.000	0.039	0.180	0.013	0.066	0.007	0.022	110	34	223	0	21	98	7	36	4	12
Men and women	Aalborg	2017	1987	29	0.144	0.073	0.252	0.004	0.052	0.177	0.050	0.211	0.005	0.033	437	220	764	11	158	536	152	641	15	99
Men and women	Aarhus	2017	1987	29	0.107	0.086	0.159	0.004	0.052	0.209	0.070	0.282	0.007	0.024	642	520	960	24	316	1258	422	1700	41	144
Women	Albertslund	2017	1987	29	0.190	0.073	0.257	0.006	0.095	0.229	0.045	0.084	0.006	0.017	34	13	46	1	17	41	8	15	1	3
Women	All Denmark	2017	1987	29	0.135	0.069	0.216	0.001	0.050	0.235	0.047	0.216	0.004	0.027	4632	2362	7400	38	1714	8044	1621	7384	120	926
Women	Allerød	2017	1987	29	0.108	0.108	0.122	0.000	0.041	0.378	0.027	0.203	0.000	0.014	8	8	9	0	3	28	2	15	0	1
Women	Assens	2017	1987	29	0.229	0.071	0.306	0.000	0.041	0.200	0.035	0.082	0.006	0.029	39	12	52	0	7	34	6	14	1	5
Women	Ballerup	2017	1987	29	0.150	0.081	0.312	0.004	0.065	0.211	0.016	0.130	0.000	0.032	37	20	77	1	16	52	4	32	0	8
Women	Billund	2017	1987	29	0.143	0.098	0.383	0.000	0.038	0.233	0.008	0.075	0.000	0.023	19	13	51	0	5	31	1	10	0	3
Women	Bornholm	2017	1987	29	0.244	0.041	0.358	0.000	0.033	0.252	0.000	0.049	0.000	0.024	30	5	44	0	4	31	0	6	0	3
Women	Brøndby	2017	1987	29	0.238	0.106	0.256	0.000	0.062	0.163	0.026	0.115	0.000	0.035	54	24	58	0	14	37	6	26	0	8
Women	Brønderslev	2017	1987	29	0.181	0.082	0.298	0.000	0.047	0.281	0.018	0.082	0.006	0.006	31	14	51	0	8	48	3	14	1	1
Women	Copenhagen	2017	1987	29	0.059	0.072	0.089	0.001	0.046	0.209	0.092	0.394	0.005	0.032	459	562	694	4	359	1620	714	3059	37	250
Women	Dragør	2017	1987	29	0.119	0.024	0.333	0.000	0.119	0.167	0.024	0.190	0.000	0.024	5	1	14	0	5	7	1	8	0	1
Women	Egedal	2017	1987	29	0.159	0.091	0.273	0.006	0.063	0.222	0.034	0.119	0.011	0.023	28	16	48	1	11	39	6	21	2	4
Women	Esbjerg	2017	1987	29	0.171	0.073	0.264	0.005	0.047	0.283	0.027	0.114	0.000	0.017	108	46	167	3	30	179	17	72	0	11
Women	Fanø	2017	1987	29	0.000	0.000	0.286	0.000	0.000	0.143	0.000	0.429	0.000	0.143	0	0	2	0	0	1	0	3	0	1
Women	Favrskov	2017	1987	29	0.183	0.054	0.248	0.000	0.059	0.248	0.015	0.168	0.010	0.015	37	11	50	0	12	50	3	34	2	3
Women	Faxe	2017	1987	29	0.226	0.022	0.431	0.000	0.066	0.175	0.015	0.058	0.000	0.007	31	3	59	0	9	24	2	8	0	1
Women	Fredensborg	2017	1987	29	0.173	0.060	0.200	0.000	0.073	0.253	0.040	0.160	0.000	0.040	26	9	30	0	11	38	6	24	0	6
Women	Fredericia	2017	1987	29	0.196	0.077	0.319	0.004	0.051	0.217	0.013	0.098	0.000	0.026	46	18	75	1	12	51	3	23	0	6
Women	Frederiksberg	2017	1987	29	0.047	0.067	0.071	0.000	0.048	0.200	0.073	0.449	0.004	0.040	51	72	77	0	52	216	79	485	4	43
Women	Frederikshavn	2017	1987	29	0.163	0.063	0.418	0.000	0.038	0.222	0.013	0.067	0.000	0.017	39	15	100	0	9	53	3	16	0	4
Women	Frederikssund	2017	1987	29	0.208	0.038	0.355	0.011	0.066	0.180	0.016	0.098	0.005	0.022	38	7	65	2	12	33	3	18	1	4
Women	Furesø	2017	1987	29	0.200	0.125	0.138	0.000	0.044	0.275	0.019	0.175	0.000	0.025	32	20	22	0	7	44	3	28	0	4
Women	Faaborg-Midtfyn	2017	1987	29	0.181	0.069	0.329	0.000	0.042	0.250	0.023	0.083	0.005	0.019	39	15	71	0	9	54	5	18	1	4
Women	Gentofte	2017	1987	29	0.079	0.072	0.088	0.000	0.042	0.312	0.039	0.293	0.002	0.074	34	31	38	0	18	135	17	127	1	32
Women	Gladsaxe	2017	1987	29	0.173	0.061	0.207	0.000	0.041	0.204	0.036	0.232	0.010	0.036	68	24	81	0	16	80	14	91	4	14
Women	Glostrup	2017	1987	29	0.187	0.097	0.213	0.000	0.065	0.239	0.039	0.123	0.006	0.032	29	15	33	0	10	37	6	19	1	5
Women	Greve	2017	1987	29	0.123	0.068	0.306	0.000	0.030	0.285	0.021	0.132	0.004	0.030	29	16	72	0	7	67	5	31	1	7
Women	Gribskov	2017	1987	29	0.201	0.112	0.269	0.000	0.075	0.231	0.015	0.075	0.007	0.015	27	15	36	0	10	31	2	10	1	2
Women	Guldborgsund	2017	1987	29	0.298	0.086	0.241	0.000	0.069	0.220	0.020	0.041	0.000	0.024	73	21	59	0	17	54	5	10	0	6
Women	Haderslev	2017	1987	29	0.206	0.056	0.361	0.000	0.040	0.179	0.028	0.111	0.000	0.020	52	14	91	0	10	45	7	28	0	5
Women	Halsnæs	2017	1987	29	0.286	0.135	0.262	0.000	0.024	0.206	0.016	0.063	0.008	0.000	36	17	33	0	3	26	2	8	1	0
Women	Hedensted	2017	1987	29	0.222	0.088	0.315	0.000	0.037	0.222	0.032	0.065	0.000	0.019	48	19	68	0	8	48	7	14	0	4
Women	Helsingør	2017	1987	29	0.220	0.056	0.268	0.000	0.060	0.256	0.028	0.084	0.000	0.028	55	14	67	0	15	64	7	21	0	7
Women	Herlev	2017	1987	29	0.194	0.072	0.237	0.000	0.065	0.237	0.022	0.173	0.000	0.000	27	10	33	0	9	33	3	24	0	0
Women	Herning	2017	1987	29	0.115	0.077	0.286	0.004	0.085	0.279	0.023	0.104	0.006	0.019	54	36	134	2	40	131	11	49	3	9
Women	Hillerød	2017	1987	29	0.139	0.095	0.323	0.000	0.035	0.244	0.035	0.119	0.000	0.010	28	19	65	0	7	49	7	24	0	2
Women	Hjørring	2017	1987	29	0.195	0.058	0.357	0.000	0.029	0.245	0.029	0.076	0.000	0.011	54	16	99	0	8	68	8	21	0	3
Women	Holbæk	2017	1987	29	0.199	0.086	0.356	0.000	0.055	0.196	0.012	0.074	0.000	0.021	65	28	116	0	18	64	4	24	0	7
Women	Holstebro	2017	1987	29	0.150	0.067	0.305	0.009	0.053	0.296	0.012	0.097	0.000	0.012	51	23	104	3	18	101	4	33	0	4
Women	Horsens	2017	1987	29	0.135	0.095	0.274	0.002	0.077	0.260	0.014	0.115	0.004	0.024	67	47	136	1	38	129	7	57	2	12
Women	Hvidovre	2017	1987	29	0.176	0.085	0.219	0.003	0.085	0.216	0.043	0.131	0.000	0.043	58	28	72	1	28	71	14	43	0	14
Women	Høje-Taastrup	2017	1987	29	0.180	0.085	0.261	0.004	0.049	0.244	0.014	0.106	0.000	0.057	51	24	74	1	14	69	4	30	0	16
Women	Hørsholm	2017	1987	29	0.176	0.082	0.094	0.000	0.047	0.271	0.071	0.212	0.000	0.047	15	7	8	0	4	23	6	18	0	4
Women	Ikast-Brande	2017	1987	29	0.154	0.031	0.318	0.000	0.067	0.246	0.005	0.133	0.005	0.041	30	6	62	0	13	48	1	26	1	8
Women	Ishøj	2017	1987	29	0.188	0.058	0.253	0.000	0.065	0.221	0.065	0.123	0.000	0.026	29	9	39	0	10	34	10	19	0	4
Women	Jammerbugt	2017	1987	29	0.190	0.063	0.407	0.000	0.032	0.222	0.011	0.058	0.000	0.016	36	12	77	0	6	42	2	11	0	3
Women	Kalundborg	2017	1987	29	0.302	0.051	0.312	0.000	0.065	0.153	0.023	0.074	0.000	0.019	65	11	67	0	14	33	5	16	0	4
Women	Kerteminde	2017	1987	29	0.233	0.058	0.349	0.000	0.058	0.186	0.012	0.058	0.000	0.047	20	5	30	0	5	16	1	5	0	4
Women	Kolding	2017	1987	29	0.186	0.064	0.246	0.000	0.070	0.240	0.030	0.138	0.000	0.028	93	32	123	0	35	120	15	69	0	14
Women	Køge	2017	1987	29	0.186	0.072	0.308	0.000	0.042	0.221	0.038	0.099	0.000	0.034	49	19	81	0	11	58	10	26	0	9
Women	Langeland	2017	1987	29	0.087	0.043	0.326	0.000	0.043	0.326	0.000	0.109	0.022	0.043	4	2	15	0	2	15	0	5	1	2
Women	Lejre	2017	1987	29	0.171	0.057	0.286	0.000	0.019	0.210	0.076	0.133	0.010	0.038	18	6	30	0	2	22	8	14	1	4
Women	Lemvig	2017	1987	29	0.233	0.089	0.322	0.000	0.067	0.244	0.011	0.033	0.000	0.000	21	8	29	0	6	22	1	3	0	0
Women	Lolland	2017	1987	29	0.376	0.054	0.329	0.000	0.040	0.154	0.007	0.020	0.000	0.020	56	8	49	0	6	23	1	3	0	3
Women	Lyngby-Taarbæk	2017	1987	29	0.072	0.072	0.136	0.000	0.030	0.229	0.034	0.331	0.030	0.068	17	17	32	0	7	54	8	78	7	16
Women	Læsø	2017	1987	29	0.000	0.250	0.250	0.000	0.250	0.000	0.250	0.000	0.000	0.000	0	1	1	0	1	0	1	0	0	0
Women	Mariagerfjord	2017	1987	29	0.143	0.032	0.376	0.000	0.053	0.243	0.032	0.095	0.000	0.026	27	6	71	0	10	46	6	18	0	5
Women	Middelfart	2017	1987	29	0.167	0.013	0.340	0.000	0.060	0.233	0.060	0.113	0.000	0.013	25	2	51	0	9	35	9	17	0	2
Women	Morsø	2017	1987	29	0.267	0.081	0.349	0.000	0.047	0.186	0.000	0.023	0.012	0.035	23	7	30	0	4	16	0	2	1	3
Women	Norddjurs	2017	1987	29	0.206	0.074	0.389	0.000	0.063	0.194	0.017	0.029	0.000	0.029	36	13	68	0	11	34	3	5	0	5
Women	Nordfyns	2017	1987	29	0.210	0.040	0.350	0.000	0.050	0.190	0.000	0.100	0.010	0.050	21	4	35	0	5	19	0	10	1	5
Women	Nyborg	2017	1987	29	0.267	0.053	0.287	0.000	0.033	0.207	0.027	0.107	0.000	0.020	40	8	43	0	5	31	4	16	0	3
Women	Næstved	2017	1987	29	0.207	0.049	0.298	0.000	0.077	0.254	0.026	0.072	0.002	0.014	89	21	128	0	33	109	11	31	1	6
Women	Odder	2017	1987	29	0.183	0.058	0.327	0.000	0.067	0.154	0.029	0.144	0.000	0.038	19	6	34	0	7	16	3	15	0	4
Women	Odense	2017	1987	29	0.117	0.063	0.186	0.001	0.039	0.299	0.062	0.202	0.002	0.028	162	88	259	2	54	415	86	281	3	39
Women	Odsherred	2017	1987	29	0.325	0.060	0.350	0.000	0.034	0.120	0.026	0.034	0.000	0.051	38	7	41	0	4	14	3	4	0	6
Women	Randers	2017	1987	29	0.176	0.054	0.320	0.002	0.060	0.274	0.010	0.078	0.002	0.024	88	27	160	1	30	137	5	39	1	12
Women	Rebild	2017	1987	29	0.155	0.062	0.256	0.000	0.039	0.287	0.000	0.186	0.000	0.016	20	8	33	0	5	37	0	24	0	2
Women	Region Hovedstaden	2017	1987	29	0.098	0.074	0.139	0.001	0.050	0.218	0.069	0.312	0.004	0.034	1376	1042	1949	13	695	3063	968	4383	63	476
Women	Region Midtjylland	2017	1987	29	0.135	0.068	0.236	0.002	0.054	0.255	0.038	0.189	0.003	0.021	1018	511	1781	12	408	1924	284	1425	25	156
Women	Region Nordjylland	2017	1987	29	0.151	0.061	0.289	0.002	0.047	0.248	0.031	0.146	0.002	0.023	451	183	863	5	141	740	92	436	5	68
Women	Region Sjælland	2017	1987	29	0.214	0.066	0.308	0.000	0.055	0.219	0.024	0.090	0.002	0.021	772	237	1111	0	199	788	85	326	9	76
Women	Region Syddanmark	2017	1987	29	0.167	0.064	0.279	0.001	0.045	0.251	0.032	0.134	0.003	0.025	1015	389	1696	8	271	1529	192	814	18	150
Women	Ringkøbing-Skjern	2017	1987	29	0.176	0.050	0.349	0.000	0.063	0.235	0.008	0.067	0.004	0.046	42	12	83	0	15	56	2	16	1	11
Women	Ringsted	2017	1987	29	0.206	0.075	0.331	0.000	0.050	0.213	0.025	0.100	0.000	0.000	33	12	53	0	8	34	4	16	0	0
Women	Roskilde	2017	1987	29	0.113	0.071	0.250	0.000	0.052	0.272	0.019	0.198	0.005	0.019	41	26	91	0	19	99	7	72	2	7
Women	Rudersdal	2017	1987	29	0.093	0.109	0.120	0.005	0.016	0.230	0.049	0.322	0.005	0.049	17	20	22	1	3	42	9	59	1	9
Women	Rødovre	2017	1987	29	0.165	0.078	0.260	0.000	0.052	0.229	0.069	0.117	0.009	0.022	38	18	60	0	12	53	16	27	2	5
Women	Samsø	2017	1987	29	0.308	0.077	0.385	0.000	0.000	0.077	0.000	0.154	0.000	0.000	4	1	5	0	0	1	0	2	0	0
Women	Silkeborg	2017	1987	29	0.191	0.061	0.248	0.002	0.047	0.291	0.021	0.123	0.000	0.014	81	26	105	1	20	123	9	52	0	6
Women	Skanderborg	2017	1987	29	0.141	0.060	0.245	0.000	0.080	0.233	0.044	0.173	0.000	0.024	35	15	61	0	20	58	11	43	0	6
Women	Skive	2017	1987	29	0.175	0.079	0.346	0.000	0.079	0.211	0.013	0.075	0.004	0.018	40	18	79	0	18	48	3	17	1	4
Women	Slagelse	2017	1987	29	0.240	0.070	0.296	0.000	0.054	0.216	0.018	0.090	0.003	0.013	93	27	115	0	21	84	7	35	1	5
Women	Solrød	2017	1987	29	0.139	0.089	0.291	0.000	0.101	0.165	0.013	0.127	0.013	0.063	11	7	23	0	8	13	1	10	1	5
Women	Sorø	2017	1987	29	0.193	0.057	0.407	0.000	0.043	0.164	0.036	0.086	0.000	0.014	27	8	57	0	6	23	5	12	0	2
Women	Stevns	2017	1987	29	0.210	0.074	0.247	0.000	0.062	0.247	0.049	0.086	0.025	0.000	17	6	20	0	5	20	4	7	2	0
Women	Struer	2017	1987	29	0.175	0.095	0.333	0.000	0.016	0.206	0.016	0.159	0.000	0.000	11	6	21	0	1	13	1	10	0	0
Women	Svendborg	2017	1987	29	0.199	0.102	0.278	0.000	0.037	0.269	0.019	0.069	0.005	0.023	43	22	60	0	8	58	4	15	1	5
Women	Syddjurs	2017	1987	29	0.163	0.088	0.293	0.000	0.082	0.224	0.020	0.109	0.000	0.020	24	13	43	0	12	33	3	16	0	3
Women	Sønderborg	2017	1987	29	0.179	0.056	0.313	0.003	0.047	0.241	0.025	0.113	0.000	0.022	57	18	100	1	15	77	8	36	0	7
Women	Thisted	2017	1987	29	0.192	0.096	0.260	0.000	0.079	0.254	0.006	0.096	0.000	0.017	34	17	46	0	14	45	1	17	0	3
Women	Tønder	2017	1987	29	0.202	0.055	0.399	0.000	0.049	0.172	0.006	0.092	0.000	0.025	33	9	65	0	8	28	1	15	0	4
Women	Tårnby	2017	1987	29	0.162	0.044	0.255	0.005	0.054	0.260	0.020	0.162	0.000	0.039	33	9	52	1	11	53	4	33	0	8
Women	Vallensbæk	2017	1987	29	0.126	0.084	0.211	0.000	0.074	0.242	0.074	0.158	0.000	0.032	12	8	20	0	7	23	7	15	0	3
Women	Varde	2017	1987	29	0.167	0.054	0.344	0.000	0.045	0.222	0.018	0.118	0.005	0.027	37	12	76	0	10	49	4	26	1	6
Women	Vejen	2017	1987	29	0.165	0.062	0.345	0.000	0.041	0.222	0.031	0.103	0.015	0.015	32	12	67	0	8	43	6	20	3	3
Women	Vejle	2017	1987	29	0.157	0.063	0.259	0.002	0.041	0.248	0.021	0.178	0.003	0.028	95	38	157	1	25	150	13	108	2	17
Women	Vesthimmerlands	2017	1987	29	0.254	0.068	0.345	0.000	0.028	0.226	0.011	0.056	0.000	0.011	45	12	61	0	5	40	2	10	0	2
Women	Viborg	2017	1987	29	0.155	0.061	0.292	0.000	0.044	0.275	0.017	0.136	0.006	0.015	82	32	154	0	23	145	9	72	3	8
Women	Vordingborg	2017	1987	29	0.218	0.065	0.294	0.000	0.065	0.276	0.018	0.041	0.000	0.024	37	11	50	0	11	47	3	7	0	4
Women	Ærø	2017	1987	29	0.125	0.063	0.438	0.000	0.000	0.250	0.000	0.125	0.000	0.000	2	1	7	0	0	4	0	2	0	0
Women	Aabenraa	2017	1987	29	0.172	0.065	0.355	0.000	0.032	0.265	0.007	0.075	0.014	0.014	48	18	99	0	9	74	2	21	4	4
Women	Aalborg	2017	1987	29	0.105	0.056	0.218	0.004	0.053	0.256	0.049	0.225	0.002	0.031	142	75	294	5	71	345	66	303	3	42
Women	Aarhus	2017	1987	29	0.087	0.067	0.134	0.001	0.040	0.255	0.070	0.322	0.004	0.020	248	192	385	4	116	731	201	922	11	57
